"UNIDADES DE PRODUCCIÓN CON CULTIVO PRINCIPAL PERENNE, SEGÚN SUPERFICIE, GRADO DE DESARROLLO DE LA PLANTACIÓN ",,,,,,,CUADRO  9,,,,,,
"Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,UNIDADADES  DE PRODUCCIÓN,SUPERFICIE,,,PRDODUCCIÓN OBTENIDA (TON),,,,,,
,,,,TOTAL   (HA),PLANTACIONES,,,,,,,,
,,,,,EN DESARROLLO  (HA),EN PRODUCCIÓN (HA),,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ALFALFA,,,,,,,,,,,,,
,SAN LORENZO CACAOTEPEC,,  84,  1.13,  0.36,  0.77,  4.12,,,,,,
,SAN LORENZO VICTORIA,,  22,  1.26,  0.07,  1.19,  67.52,,,,,,
,SAN LUCAS CAMOTLAN,,  3,  2.00,  2.00,  0.00,  0.00,,,,,,
,SAN LUCAS OJITLAN,, 1 008,  247.58,  51.85,  195.72, 1 452.86,,,,,,
,SAN LUCAS QUIAVINI,,  5,  0.08,  0.07,  0.01,  0.94,,,,,,
,SAN LUCAS ZOQUIAPAM,,  91,  108.73,  7.14,  101.59,  217.89,,,,,,
,SAN LUIS AMATLAN,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SAN MARCIAL OZOLOTEPEC,,  21,  39.67,  4.00,  35.67,  9.27,,,,,,
,SAN MARCOS ARTEAGA,,*,  0.26,  0.00,  0.26,  0.16,,,,,,
,SAN MARTIN HUAMELULPAM,,  9,  0.07,  0.04,  0.03,  0.28,,,,,,
,SAN MARTIN LACHILA,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SAN MARTIN PERAS,,  4,  0.05,  0.00,  0.05,  0.70,,,,,,
,SAN MARTIN TOXPALAN,,  7,  5.40,  0.00,  5.40,  0.66,,,,,,
,SAN MATEO CAJONOS,,*,  0.00,  0.00,  0.00,  0.06,,,,,,
,SAN MATEO DEL MAR,,  12,  0.01,  0.00,  0.01,  0.03,,,,,,
,SAN MATEO YOLOXOCHITLAN,,  135,  89.21,  1.00,  88.21,  37.23,,,,,,
,SAN MATEO PIÑAS,,  21,  25.10,  4.44,  20.66,  3.77,,,,,,
,SAN MATEO RIO HONDO,,  32,  86.25,  18.88,  67.38,  7.30,,,,,,
,SAN MATEO SINDIHUI,,  14,  1.82,  0.01,  1.81,  0.49,,,,,,
,SAN MELCHOR BETAZA,,  39,  16.02,  6.66,  9.36,  17.80,,,,,,
,SAN MIGUEL ACHIUTLA,,*,  0.01,  0.01,  0.00,  0.00,,,,,,
,SAN MIGUEL AMATLAN,,*,  0.33,  0.33,  0.00,  0.00,,,,,,
,SAN MIGUEL COATLAN,,  4,  4.25,  1.42,  2.83,  7.38,,,,,,
,SAN MIGUEL CHIMALAPA,,  37,  23.27,  4.50,  18.77,  137.12,,,,,,
,SAN MIGUEL DEL PUERTO,,  191,  29.71,  11.75,  17.97,  69.63,,,,,,
,SAN MIGUEL DEL RIO,,*,  0.25,  0.00,  0.25,  0.09,,,,,,
,SAN MIGUEL EJUTLA,,  5,  0.00,  0.00,  0.00,  0.12,,,,,,
,SAN MIGUEL MIXTEPEC,,  16,  1.25,  0.50,  0.75,  0.57,,,,,,
,SAN MIGUEL PANIXTLAHUACA,,  23,  24.20,  11.22,  12.98,  27.42,,,,,,
,SAN MIGUEL QUETZALTEPEC,,  46,  34.63,  8.86,  25.77,  10.56,,,,,,
,VILLA SOLA DE VEGA,,  17,  2.65,  0.75,  1.90,  5.97,,,,,,
,NUEVO SOYALTEPEC,,  514,  188.65,  14.09,  174.56,  732.01,,,,,,
,SAN MIGUEL TALEA DE CASTRO,,*,  3.00,  0.00,  3.00,  0.20,,,,,,
,SAN MIGUEL TECOMATLAN,,*,  0.01,  0.00,  0.01,  0.12,,,,,,
,SAN MIGUEL TENANGO,,  3,  0.00,  0.00,  0.00,  0.94,,,,,,
,SAN MIGUEL TILQUIAPAM,,*,  0.50,  0.00,  0.50,  0.12,,,,,,
,SAN MIGUEL TLACAMAMA,,  24,  17.87,  4.50,  13.37,  12.39,,,,,,
,SAN MIGUEL TLACOTEPEC,,*,  0.01,  0.00,  0.01,  0.02,,,,,,
,SAN MIGUEL YOTAO,,  40,  48.68,  3.50,  45.18,  9.29,,,,,,
,SAN NICOLAS HIDALGO,,  3,  0.00,  0.00,  0.00,  0.33,,,,,,
,SAN PABLO COATLAN,,*,  1.00,  0.00,  1.00,  0.10,,,,,,
,SAN PABLO CUATRO VENADOS,,*,  2.00,  2.00,  0.00,  0.00,,,,,,
,SAN PABLO ETLA,,  49,  0.72,  0.35,  0.36,  0.27,,,,,,
,SAN PABLO HUITZO,,  105,  2.53,  1.68,  0.85,  6.59,,,,,,
,SAN PABLO HUIXTEPEC,,  129,  2.34,  0.99,  1.36,  6.01,,,,,,
,SAN PABLO MACUILTIANGUIS,,  14,  2.26,  1.47,  0.79,  0.20,,,,,,
,SAN PABLO TIJALTEPEC,,  26,  0.56,  0.10,  0.45,  3.73,,,,,,
,SAN PABLO VILLA DE MITLA,,  7,  0.35,  0.25,  0.10,  0.49,,,,,,
,SAN PABLO YAGANIZA,,  11,  1.00,  0.00,  1.00,  3.59,,,,,,
,SAN PEDRO AMUZGOS,,  125,  13.98,  7.85,  6.13,  18.35,,,,,,
,SAN PEDRO APOSTOL,,  54,  10.02,  10.01,  0.02,  0.73,,,,,,
,SAN PEDRO ATOYAC,,  11,  0.61,  0.00,  0.61,  3.21,,,,,,
,SAN PEDRO CAJONOS,,  62,  8.41,  2.26,  6.15,  8.53,,,,,,
,SAN PEDRO COMITANCILLO,,  60,  1.89,  0.83,  1.07,  9.95,,,,,,
,SAN PEDRO EL ALTO,,  51,  15.19,  1.25,  13.94,  9.00,,,,,,
,SAN PEDRO HUAMELULA,,  14,  5.10,  0.85,  4.25,  1.59,,,,,,
,SAN PEDRO HUILOTEPEC,,  4,  0.85,  0.50,  0.35,  0.00,,,,,,
,SAN PEDRO IXCATLAN,,  57,  21.93,  5.01,  16.92,  46.24,,,,,,
,SAN PEDRO IXTLAHUACA,,  3,  0.06,  0.01,  0.05,  0.17,,,,,,
,SAN PEDRO JALTEPETONGO,,*,  0.50,  0.00,  0.50,  3.00,,,,,,
,SAN PEDRO JICAYAN,,  44,  8.94,  0.70,  8.24,  16.21,,,,,,
,SAN PEDRO JUCHATENGO,,*,  1.50,  0.00,  1.50,  6.60,,,,,,
,SAN PEDRO MARTIR QUIECHAPA,,  6,  0.15,  0.00,  0.15,  0.96,,,,,,
,SAN PEDRO MIXTEPEC - DISTR. 22 -,,  7,  1.37,  0.00,  1.37,  2.27,,,,,,
,SAN PEDRO MOLINOS,,  3,  0.03,  0.01,  0.02,  0.16,,,,,,
,SAN PEDRO NOPALA,,  8,  0.00,  0.00,  0.00,  0.11,,,,,,
,SAN PEDRO OCOTEPEC,,  101,  65.67,  0.25,  65.42,  70.66,,,,,,
,SAN PEDRO POCHUTLA,,  70,  65.98,  17.84,  48.14,  60.88,,,,,,
,SAN PEDRO QUIATONI,,  10,  2.26,  0.76,  1.51,  2.24,,,,,,
,SAN PEDRO SOCHIAPAM,,  375,  589.28,  346.39,  242.89,  228.01,,,,,,
,SAN PEDRO TAPANATEPEC,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SAN PEDRO TAVICHE,,*,  0.05,  0.03,  0.02,  0.08,,,,,,
,SAN PEDRO TEOZACOALCO,,*,  0.50,  0.00,  0.50,  32.53,,,,,,
,SAN PEDRO TEUTILA,,  53,  96.50,  27.00,  69.50,  69.48,,,,,,
,SAN PEDRO TOTOLAPA,,  18,  4.00,  1.28,  2.73,  20.68,,,,,,
,SAN PEDRO TUTUTEPEC,,  36,  63.63,  2.06,  61.58,  46.33,,,,,,
,SAN PEDRO YANERI,,  129,  71.04,  2.50,  68.53,  13.91,,,,,,
,SAN PEDRO YOLOX,,  71,  56.33,  12.25,  44.08,  35.50,,,,,,
,SAN PEDRO Y SAN PABLO AYUTLA,,  17,  9.20,  0.00,  9.20,  4.01,,,,,,
,VILLA DE ETLA,,  14,  2.21,  0.08,  2.13,  1.96,,,,,,
,SAN PEDRO Y SAN PABLO TEQUIXTEPEC,,  36,  2.80,  0.01,  2.79,  1.74,,,,,,
,SAN RAYMUNDO JALPAN,,  5,  2.22,  0.02,  2.20,  0.43,,,,,,
,SAN SEBASTIAN ABASOLO,,  11,  0.69,  0.00,  0.68,  28.75,,,,,,
,SAN SEBASTIAN COATLAN,,  55,  75.26,  18.20,  57.06,  20.45,,,,,,
,SAN SEBASTIAN IXCAPA,,  14,  52.35,  43.15,  9.20,  35.67,,,,,,
,SAN SEBASTIAN TECOMAXTLAHUACA,,  19,  2.51,  0.25,  2.26,  13.34,,,,,,
,SAN SEBASTIAN TEITIPAC,,*,  0.01,  0.01,  0.00,  0.00,,,,,,
,SAN SIMON ALMOLONGAS,,  4,  0.01,  0.00,  0.01,  0.22,,,,,,
,SAN SIMON ZAHUATLAN,,*,  0.50,  0.00,  0.50,  0.18,,,,,,
,SANTA ANA,,  15,  0.02,  0.00,  0.02,  0.51,,,,,,
,SANTA ANA ATEIXTLAHUACA,,  5,  8.67,  1.00,  7.67,  1.28,,,,,,
,SANTA ANA CUAUHTEMOC,,*,  0.17,  0.00,  0.17,  3.60,,,,,,
,SANTA ANA DEL VALLE,,  16,  0.02,  0.00,  0.01,  1.96,,,,,,
,SANTA ANA TAVELA,,*,  0.50,  0.00,  0.50,  1.50,,,,,,
,SANTA ANA TLAPACOYAN,,  62,  0.04,  0.00,  0.04,  1.10,,,,,,
,SANTA ANA YARENI,,*,  1.50,  0.00,  1.50,  0.00,,,,,,
,SANTA ANA ZEGACHE,,  6,  0.00,  0.00,  0.00,  70.09,,,,,,
,SANTA CATALINA QUIERI,,  6,  0.54,  0.00,  0.54,  0.33,,,,,,
,SANTA CATARINA IXTEPEJI,,  10,  1.70,  0.00,  1.70,  0.75,,,,,,
,SANTA CATARINA JUQUILA,,  71,  344.29,  63.71,  280.58,  43.05,,,,,,
,SANTA CATARINA LOXICHA,,  16,  15.83,  3.18,  12.65,  3.00,,,,,,
,SANTA CATARINA MECHOACAN,,  8,  6.75,  1.25,  5.50,  2.78,,,,,,
,SANTA CATARINA MINAS,,  12,  0.37,  0.18,  0.19,  1.70,,,,,,
,SANTA CATARINA QUIANE,,  9,  0.07,  0.00,  0.07,  0.56,,,,,,
,SANTA CATARINA TAYATA,,  8,  0.50,  0.40,  0.10,  0.22,,,,,,
,SANTA CRUZ ACATEPEC,,  6,  9.67,  0.00,  9.67,  0.96,,,,,,
,SANTA CRUZ AMILPAS,,*,  0.04,  0.00,  0.04,  0.60,,,,,,
,SANTA CRUZ ITUNDUJIA,,  156,  189.42,  108.16,  81.26,  44.23,,,,,,
,SANTA CRUZ MIXTEPEC,,  87,  0.94,  0.11,  0.82,  4.22,,,,,,
,SANTA CRUZ TACACHE DE MINA,,  17,  0.09,  0.03,  0.06,  0.43,,,,,,
,SANTA CRUZ TACAHUA,,  109,  2.67,  0.28,  2.39,  31.00,,,,,,
,SANTA CRUZ TAYATA,,  5,  0.04,  0.04,  0.01,  0.06,,,,,,
,SANTA CRUZ XITLA,,*,  0.01,  0.00,  0.01,  0.03,,,,,,
,SANTA CRUZ XOXOCOTLAN,,  25,  0.53,  0.16,  0.37,  1.70,,,,,,
,SANTA CRUZ ZENZONTEPEC,,  105,  27.16,  3.71,  23.45,  29.23,,,,,,
,SANTA GERTRUDIS,,  92,  0.75,  0.03,  0.71,  3.93,,,,,,
,SANTA INES DEL MONTE,,  3,  0.50,  0.25,  0.25,  0.12,,,,,,
,SANTA INES YATZECHE,,  7,  0.00,  0.00,  0.00,  0.05,,,,,,
,SANTA LUCIA DEL CAMINO,,  3,  0.10,  0.09,  0.01,  0.00,,,,,,
,SANTA LUCIA MONTEVERDE,,  324,  326.40,  129.99,  196.41,  38.49,,,,,,
,SANTA MARIA ALOTEPEC,,  104,  169.89,  18.73,  151.16,  129.32,,,,,,
,SANTA MARIA APAZCO,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,HEROICA CIUDAD DE TLAXIACO,,  18,  3.08,  0.03,  3.05,  0.57,,,,,,
,AYOQUEZCO DE ALDAMA,,  237,  1.38,  0.30,  1.09,  8.46,,,,,,
,SANTA MARIA ATZOMPA,,  11,  0.11,  0.04,  0.08,  0.81,,,,,,
,SANTA MARIA CAMOTLAN,,  8,  0.02,  0.00,  0.02,  0.53,,,,,,
,SANTA MARIA COLOTEPEC,,  8,  7.06,  4.25,  2.81,  2.70,,,,,,
,SANTA MARIA CORTIJO,,  14,  6.50,  0.75,  5.75,  4.03,,,,,,
,SANTA MARIA COYOTEPEC,,*,  0.02,  0.00,  0.02,  0.98,,,,,,
,SANTA MARIA CHILAPA DE DIAZ,,*,  0.06,  0.00,  0.06,  0.01,,,,,,
,SANTA MARIA CHILCHOTLA,,  19,  7.91,  2.75,  5.16,  49.11,,,,,,
,SANTA MARIA CHIMALAPA,,  408,  215.83,  94.54,  121.30,  488.64,,,,,,
,SANTA MARIA DEL ROSARIO,,  6,  0.03,  0.02,  0.01,  0.02,,,,,,
,SANTA MARIA DEL TULE,,  5,  0.05,  0.00,  0.05,  0.99,,,,,,
,SANTA MARIA ECATEPEC,,  4,  0.08,  0.08,  0.00,  0.00,,,,,,
,SANTA MARIA GUELACE,,*,  0.01,  0.00,  0.01,  0.35,,,,,,
,SANTA MARIA GUIENAGATI,,  128,  507.13,  478.13,  29.00,  78.84,,,,,,
,SANTA MARIA HUATULCO,,  116,  62.12,  25.37,  36.76,  84.54,,,,,,
,SANTA MARIA HUAZOLOTITLAN,,  9,  3.16,  2.36,  0.80,  0.88,,,,,,
,SANTA MARIA IPALAPA,,  145,  4.68,  3.40,  1.28,  14.51,,,,,,
,SANTA MARIA JACATEPEC,,  674,  109.48,  19.04,  90.44,  339.20,,,,,,
,SANTA MARIA JALAPA DEL MARQUES,,  25,  0.44,  0.28,  0.15,  0.75,,,,,,
,SANTA MARIA JALTIANGUIS,,*,  0.02,  0.00,  0.02,  0.05,,,,,,
,SANTA MARIA MIXTEQUILLA,,  17,  1.48,  1.46,  0.02,  0.68,,,,,,
,SANTA MARIA NATIVITAS,,*,  0.01,  0.00,  0.01,  0.33,,,,,,
,SANTA MARIA NDUAYACO,,*,  0.25,  0.00,  0.25,  0.03,,,,,,
,SANTA MARIA OZOLOTEPEC,,  3,  2.25,  0.00,  2.25,  65.31,,,,,,
,SANTA MARIA PEÑOLES,,  15,  0.54,  0.00,  0.53,  1.50,,,,,,
,SANTA MARIA PETAPA,,  82,  16.37,  7.16,  9.20,  60.60,,,,,,
,SANTA MARIA QUIEGOLANI,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SANTA MARIA SOLA,,  5,  5.00,  0.50,  4.50,  3.00,,,,,,
,SANTA MARIA TECOMAVACA,,  6,  2.00,  0.00,  2.00,  0.06,,,,,,
,SANTA MARIA TEOPOXCO,,  8,  0.02,  0.00,  0.02,  0.62,,,,,,
,SANTA MARIA TEPANTLALI,,  197,  120.54,  0.00,  120.54,  74.70,,,,,,
,SANTA MARIA TEXCATITLAN,,  19,  1.01,  0.00,  1.01,  9.24,,,,,,
,SANTA MARIA TLAHUITOLTEPEC,,  93,  39.26,  2.25,  37.01,  32.29,,,,,,
,SANTA MARIA TLALIXTAC,,  19,  25.67,  0.00,  25.67,  32.35,,,,,,
,SANTA MARIA TONAMECA,,  52,  48.24,  20.07,  28.16,  666.04,,,,,,
,SANTA MARIA TOTOLAPILLA,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SANTA MARIA XADANI,,  12,  0.04,  0.00,  0.04,  1.51,,,,,,
,SANTA MARIA YALINA,,*,  0.00,  0.00,  0.00,  0.01,,,,,,
,SANTA MARIA YOLOTEPEC,,  7,  2.25,  0.25,  2.00,  3.33,,,,,,
,SANTA MARIA YOSOYUA,,*,  0.02,  0.00,  0.02,  0.43,,,,,,
,SANTA MARIA YUCUHITI,,  37,  95.58,  53.50,  42.08,  29.06,,,,,,
,SANTA MARIA ZACATEPEC,,  201,  185.18,  97.07,  88.11,  404.49,,,,,,
,SANTA MARIA ZANIZA,,  3,  0.75,  0.00,  0.75,  0.11,,,,,,
,SANTA MARIA ZOQUITLAN,,  12,  1.44,  0.29,  1.15,  14.47,,,,,,
,SANTIAGO AMOLTEPEC,,  68,  11.27,  9.14,  2.13,  8.13,,,,,,
,SANTIAGO APOALA,,  4,  0.00,  0.00,  0.00,  0.62,,,,,,
,SANTIAGO ASTATA,,  4,  0.60,  0.10,  0.50,  3.07,,,,,,
,SANTIAGO ATITLAN,,  26,  52.81,  3.50,  49.31,  6.89,,,,,,
,SANTIAGO CAMOTLAN,,  57,  132.50,  9.50,  123.00,  113.43,,,,,,
,SANTIAGO COMALTEPEC,,  50,  67.50,  38.00,  29.50,  31.01,,,,,,
,SANTIAGO CHAZUMBA,,*,  0.01,  0.01,  0.00,  0.00,,,,,,
,SANTIAGO CHOAPAM,,  92,  258.15,  207.07,  51.08,  85.38,,,,,,
,SANTIAGO DEL RIO,,  22,  1.36,  0.00,  1.36,  5.41,,,,,,
,SANTIAGO HUAJOLOTITLAN,,  11,  0.02,  0.00,  0.02,  0.12,,,,,,
,SANTIAGO HUAUCLILLA,,  17,  0.32,  0.02,  0.31,  2.18,,,,,,
,SANTIAGO IXTAYUTLA,,  174,  16.75,  10.44,  6.31,  18.18,,,,,,
,SANTIAGO JAMILTEPEC,,  9,  3.15,  0.50,  2.65,  3.56,,,,,,
,SANTIAGO JOCOTEPEC,,  836,  368.40,  107.11,  261.29,  817.06,,,,,,
,SANTIAGO JUXTLAHUACA,,  31,  18.44,  2.11,  16.32,  9.82,,,,,,
,SANTIAGO LACHIGUIRI,,  481, 1 324.48,  961.12,  363.36,  291.67,,,,,,
,SANTIAGO LAOLLAGA,,  8,  11.50,  2.75,  8.75,  29.34,,,,,,
,SANTIAGO LAXOPA,,  3,  1.25,  0.25,  1.00,  0.11,,,,,,
,SANTIAGO LLANO GRANDE,,  8,  1.42,  1.42,  0.00,  0.07,,,,,,
,SANTIAGO MATATLAN,,  8,  0.10,  0.00,  0.10,  3.05,,,,,,
,SANTIAGO MILTEPEC,,  5,  0.32,  0.00,  0.32,  3.44,,,,,,
,SANTIAGO MINAS,,*,  0.01,  0.00,  0.01,  0.00,,,,,,
,SANTIAGO NACALTEPEC,,  30,  7.68,  1.95,  5.72,  7.18,,,,,,
,SANTIAGO NUYOO,,  140,  287.77,  205.73,  82.04,  41.47,,,,,,
,SANTIAGO PINOTEPA NACIONAL,,  18,  4.35,  3.02,  1.33,  1.24,,,,,,
,SANTIAGO SUCHILQUITONGO,,  61,  0.66,  0.08,  0.58,  1.84,,,,,,
,SANTIAGO TAPEXTLA,,  11,  6.53,  3.20,  3.33,  0.77,,,,,,
,VILLA TEJUPAM DE LA UNION,,  3,  0.28,  0.26,  0.02,  0.00,,,,,,
,SANTIAGO TENANGO,,  14,  0.15,  0.09,  0.06,  0.30,,,,,,
,SANTIAGO TETEPEC,,  3,  1.00,  0.50,  0.50,  0.50,,,,,,
,SANTIAGO TEXCALCINGO,,  3,  0.06,  0.00,  0.06,  0.36,,,,,,
,SANTIAGO TEXTITLAN,,  20,  3.82,  0.27,  3.56,  3.74,,,,,,
,SANTIAGO TLAZOYALTEPEC,,  6,  0.14,  0.05,  0.08,  1.01,,,,,,
,SANTIAGO XANICA,,  91,  117.87,  53.09,  64.78,  68.20,,,,,,
,SANTIAGO YAITEPEC,,*,  7.00,  0.00,  7.00,  2.00,,,,,,
,SANTIAGO YAVEO,,  149,  98.73,  64.40,  34.32,  362.79,,,,,,
,SANTIAGO YOSONDUA,,  77,  23.79,  2.13,  21.66,  25.22,,,,,,
,SANTIAGO ZACATEPEC,,  20,  19.17,  3.00,  16.17,  11.68,,,,,,
,SANTIAGO ZOOCHILA,,*,  0.00,  0.00,  0.00,  0.01,,,,,,
,NUEVO ZOQUIAPAM,,*,  0.25,  0.25,  0.00,  0.00,,,,,,
,SANTO DOMINGO INGENIO,,  15,  0.15,  0.03,  0.12,  1.70,,,,,,
,SANTO DOMINGO ALBARRADAS,,  14,  0.88,  0.27,  0.62,  2.94,,,,,,
,SANTO DOMINGO ARMENTA,,  26,  8.73,  7.28,  1.45,  1.33,,,,,,
,SANTO DOMINGO CHIHUITAN,,  10,  0.36,  0.21,  0.15,  0.41,,,,,,
,SANTO DOMINGO DE MORELOS,,  11,  8.20,  2.30,  5.90,  9.97,,,,,,
,SANTO DOMINGO OZOLOTEPEC,,*,  1.00,  0.00,  1.00,  0.08,,,,,,
,SANTO DOMINGO PETAPA,,  291,  667.04,  89.97,  577.07,  494.54,,,,,,
,SANTO DOMINGO ROAYAGA,,*,  0.50,  0.00,  0.50,  0.30,,,,,,
,SANTO DOMINGO TEHUANTEPEC,,  253,  466.10,  30.76,  435.34,  190.31,,,,,,
,SANTO DOMINGO TEOJOMULCO,,  11,  10.75,  0.00,  10.75,  9.42,,,,,,
,SANTO DOMINGO TEPUXTEPEC,,  8,  3.43,  0.00,  3.43,  5.49,,,,,,
,SANTO DOMINGO TOMALTEPEC,,*,  0.25,  0.00,  0.25,  1.00,,,,,,
,SANTO DOMINGO TONALA,,  80,  6.81,  2.62,  4.19,  16.77,,,,,,
,SANTO DOMINGO XAGACIA,,  16,  2.51,  0.50,  2.00,  3.66,,,,,,
,SANTO DOMINGO YODOHINO,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,SANTO DOMINGO ZANATEPEC,,  4,  3.01,  0.01,  3.00,  0.31,,,,,,
,SANTOS REYES NOPALA,,  19,  11.50,  3.92,  7.58,  13.11,,,,,,
,SANTOS REYES PAPALO,,  3,  3.50,  1.50,  2.00,  0.64,,,,,,
,SANTO TOMAS MAZALTEPEC,,  36,  0.71,  0.05,  0.67,  1.27,,,,,,
,SANTO TOMAS OCOTEPEC,,  3,  2.00,  0.00,  2.00,  11.25,,,,,,
,SANTO TOMAS TAMAZULAPAM,,  7,  0.75,  0.50,  0.25,  0.32,,,,,,
,SAN VICENTE COATLAN,,  16,  2.50,  0.00,  2.50,  1.18,,,,,,
,SAN VICENTE NUÑU,,*,  0.50,  0.50,  0.00,  0.00,,,,,,
,SILACAYOAPAM,,  87,  2.01,  0.01,  2.01,  5.70,,,,,,
,SOLEDAD ETLA,,  102,  1.10,  0.32,  0.77,  2.28,,,,,,
,VILLA DE TAMAZULAPAM DEL PROGRESO,,  23,  2.45,  1.17,  1.28,  1.05,,,,,,
,TANICHE,,  5,  0.00,  0.00,  0.00,  0.12,,,,,,
,TEOCOCUILCO DE MARCOS PEREZ,,  14,  2.76,  0.00,  2.76,  2.85,,,,,,
,TEOTITLAN DE FLORES MAGON,,  17,  3.65,  0.25,  3.40,  7.71,,,,,,
,TEOTONGO,,  14,  0.08,  0.03,  0.06,  0.38,,,,,,
,TEZOATLAN DE SEGURA Y LUNA,,  4,  0.03,  0.00,  0.03,  0.00,,,,,,
,SAN JERONIMO TLACOCHAHUAYA,,  7,  0.00,  0.00,  0.00,  0.50,,,,,,
,TLACOLULA DE MATAMOROS,,  9,  0.37,  0.00,  0.37,  0.27,,,,,,
,TOTONTEPEC VILLA DE MORELOS,,  254,  314.08,  8.00,  306.08,  253.03,,,,,,
,TRINIDAD ZAACHILA,,  27,  0.24,  0.06,  0.17,  2.49,,,,,,
,UNION HIDALGO,,  25,  5.56,  0.00,  5.56,  3.38,,,,,,
,VALERIO TRUJANO,,*,  0.00,  0.00,  0.00,  0.20,,,,,,
,SAN JUAN BAUTISTA VALLE NACIONAL,, 1 647,  639.65,  490.29,  149.36, 1 553.80,,,,,,
,VILLA DIAZ ORDAZ,,  115,  0.99,  0.43,  0.56,  0.87,,,,,,
,YAXE,,  3,  0.24,  0.00,  0.24,  0.00,,,,,,
,YUTANDUCHI DE GUERRERO,,  3,  0.75,  0.00,  0.75,  0.06,,,,,,
,VILLA DE ZAACHILA,,  69,  0.66,  0.01,  0.65,  2.73,,,,,,
,ZAPOTITLAN DEL RIO,,  6,  0.84,  0.06,  0.78,  1.40,,,,,,
,ZAPOTITLAN LAGUNAS,,*,  0.17,  0.17,  0.00,  0.00,,,,,,
,ZIMATLAN DE ALVAREZ,,  15,  0.26,  0.11,  0.15,  2.29,,,,,,
PUEBLA,,, 11 601, 20 388.57, 8 224.39, 12 164.18, 49 491.76,,,,,,
,ACAJETE,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,ACATENO,,  581, 3 705.94, 1 161.77, 2 544.17, 21 139.97,,,,,,
,ACATLAN,,  171,  14.30,  3.57,  10.73,  19.70,,,,,,
,ACATZINGO,,  3,  0.03,  0.03,  0.01,  0.10,,,,,,
,AHUACATLAN,,  172,  62.66,  22.75,  39.91,  94.95,,,,,,
,AHUATLAN,,*,  0.01,  0.00,  0.01,  0.24,,,,,,
,AHUEHUETITLA,,*,  0.01,  0.01,  0.00,  0.00,,,,,,
,AJALPAN,,  51,  64.50,  54.13,  10.37,  39.14,,,,,,
,ALBINO ZERTUCHE,,  10,  0.00,  0.00,  0.00,  0.01,,,,,,
,ALTEPEXI,,  10,  0.00,  0.00,  0.00,  0.04,,,,,,
,AMIXTLAN,,  59,  44.57,  32.20,  12.37,  21.68,,,,,,
,AMOZOC,,*,  0.00,  0.00,  0.00,  0.01,,,,,,
,ATEXCAL,,  10,  3.04,  0.15,  2.90,  0.27,,,,,,
,ATLIXCO,,  61,  4.64,  0.10,  4.54,  5.41,,,,,,
,ATOYATEMPAN,,  3,  0.12,  0.12,  0.00,  0.00,,,,,,
,ATZITZIHUACAN,,  34,  5.14,  0.26,  4.88,  2.12,,,,,,
,AXUTLA,,  9,  3.35,  1.71,  1.64,  2.81,,,,,,
,AYOTOXCO DE GUERRERO,,  187,  583.43,  350.22,  233.21,  907.62,,,,,,
,CALTEPEC,,  55,  2.56,  1.06,  1.50,  4.43,,,,,,
,CAMOCUAUTLA,,  8,  11.25,  2.75,  8.50,  2.28,,,,,,
,CAXHUACAN,,  4,  4.05,  2.00,  2.05,  3.29,,,,,,
,COATEPEC,,  5,  9.25,  4.25,  5.00,  0.79,,,,,,
,COATZINGO,,  3,  0.01,  0.00,  0.01,  0.37,,,,,,
,COHETZALA,,  6,  0.02,  0.02,  0.00,  0.00,,,,,,
,COHUECAN,,*,  0.01,  0.00,  0.01,  0.14,,,,,,
,CORONANGO,,*,  0.00,  0.00,  0.00,  0.00,,,,,,
,COXCATLAN,,  75,  2.52,  1.18,  1.34,  7.05,,,,,,
,COYOMEAPAN,,  92,  198.75,  34.17,  164.58,  227.22,,,,,,
,COYOTEPEC,,  3,  0.00,  0.00,  0.00,  0.00,,,,,,
,CUAUTEMPAN,,  97,  72.42,  56.39,  16.03,  14.52,,,,,,
,CUAUTLANCINGO,,  10,  0.41,  0.40,  0.01,  0.63,,,,,,
,CUAYUCA DE ANDRADE,,  3,  0.01,  0.00,  0.01,  0.14,,,,,,
,CUETZALAN DEL PROGRESO,, 1 253, 1 678.90,  275.78, 1 403.11, 1 607.39,,,,,,
,CHAPULCO,,*,  1.50,  0.00,  1.50,  2.00,,,,,,
,CHIAUTLA,,  62,  2.36,  0.02,  2.34,  1.89,,,,,,
,CHIAUTZINGO,,*,  0.01,  0.01,  0.00,  0.00,,,,,,
,CHICONCUAUTLA,,  137,  20.36,  1.99,  18.37,  16.62,,,,,,
,CHICHIQUILA,,  65,  69.04,  7.50,  61.54,  45.18,,,,,,
