"UNIDADES DE PRODUCCIÓN URBANAS, Y RURALES CON SUPERFICIE AGRÍCOLA, SEGÚN DESTINO",,,,,,,,CUADRO 10,,,
"DE LA PRODUCCIÓN AGRÍCOLA, POR ENTIDAD Y MUNICIPIO",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,UNIDADES DE PRODUCCIÓN,DESTINO DE LA PRODUCCIÓN,,,NO REPORTARON PRODUCCIÓN,,,
,,,,,SÓLO AUTOCONSUMO,VENTA,,,,,
,,,,,,SÓLO LOCAL O NACIONAL,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,"LOCAL, NACIONAL Y EXPORTACIÓN ",,,,
,,,,,,,,,,,
,,,,,,,,,,,
DURANGO,,,, 85 010, 34 785, 43 312,  64, 6 849,,,
,CANATLAN,,, 5 793, 1 617, 3 212,  4,  960,,,
,CANELAS,,,  596,  564,  26,-,  6,,,
,CONETO DE COMONFORT,,,  676,  313,  168,-,  195,,,
,CUENCAME,,, 3 951,  943, 2 590,-,  418,,,
,DURANGO,,, 8 175, 2 679, 4 363,*, 1 131,,,
,GENERAL SIMON BOLIVAR,,, 1 815,  486, 1 262,-,  67,,,
,GOMEZ PALACIO,,, 5 830,  564, 5 018,  13,  235,,,
,GUADALUPE VICTORIA,,, 3 715,  345, 3 246,-,  124,,,
,GUANACEVI,,, 1 247, 1 064,  114,-,  69,,,
,HIDALGO,,,  910,  256,  649,-,  5,,,
,INDE,,, 1 160,  476,  599,-,  85,,,
,LERDO,,, 2 375,  540, 1 624,  8,  203,,,
,MAPIMI,,, 1 892,  305, 1 281,  10,  296,,,
,MEZQUITAL,,, 2 572, 1 836,  420,-,  316,,,
,NAZAS,,, 1 615,  387, 1 146,*,  80,,,
,NOMBRE DE DIOS,,, 2 531,  736, 1 692,*,  102,,,
,OCAMPO,,, 1 325,  713,  584,-,  28,,,
,"ORO, EL",,, 1 588, 1 256,  180,-,  152,,,
,OTAEZ,,,  609,  524,  83,-,*,,,
,PANUCO DE CORONADO,,, 2 037,  324, 1 588,  4,  121,,,
,PEÑON BLANCO,,, 1 095,  259,  786,-,  50,,,
,POANAS,,, 2 306,  247, 2 021,*,  36,,,
,PUEBLO NUEVO,,, 2 289, 1 842,  363,-,  84,,,
,RODEO,,, 1 643,  656,  896,-,  91,,,
,SAN BERNARDO,,, 1 176,  809,  276,-,  91,,,
,SAN DIMAS,,, 1 973, 1 681,  191,*,  100,,,
,SAN JUAN DE GUADALUPE,,, 1 217,  828,  190,-,  199,,,
,SAN JUAN DEL RIO,,, 2 182,  934, 1 112,*,  135,,,
,SAN LUIS DEL CORDERO,,,  462,  286,  115,-,  61,,,
,SAN PEDRO DEL GALLO,,,  506,  176,  260,-,  70,,,
