"SUPERFICIE DE UNIDADES DE PRODUCCIîN RURALES, SEGòN RƒGIMEN",,,,,,,CUADRO 5
"DE TENENCIA DE LA TIERRA, POR ENTIDAD Y MUNICIPIO",,,,,,,
,,,,,,,
ENTIDAD Y  MUNICIPIO,, SUPERFICIE TOTAL  (HA) ,  TENENCIA DE LA TIERRA,,,,
,,,EJIDAL  (HA), COMUNAL  (HA),PRIVADA  (HA) ,  COLONIA (HA) , PUBLICA  (HA)
,,,,,,,
,,,,,,,
,TEPEYANCO, 1 453.11,-,-, 1 453.07,-,0.05
,TERRENATE, 15 292.11, 8 534.83,-, 6 757.28,-,-
,TETLA, 7 560.66, 4 481.80,-, 2 947.86,-,131
,TETLATLAHUCA, 1 811.55,704.47,-, 1 105.33,-,1.75
,TLAXCALA, 1 146.82,77.66,-, 1 068.41,-,0.76
,TLAXCO, 40 373.71, 21 537.81,-, 18 835.89,-,-
,TOCATLAN, 2 883.97, 2 708.17,-,151.3,-,24.5
,TOTOLAC,218.32,-,-,209.72,-,8.6
,ZITLALTEPEC DE TRINIDAD SANCHEZ S., 4 050.97, 2 888.01,-, 1 162.96,-,-
,TZOMPANTEPEC, 4 811.80, 2 251.04,-, 2 558.51,-,2.25
,XALOZTOC, 3 112.54, 2 560.28,-,552.26,-,-
,XALTOCAN, 5 700.49, 2 154.05,-, 3 544.44,-,2
,PAPALOTLA DE XICOHTENCATL,676.26,-,-,675.67,-,0.59
,XICOTZINGO,105.24,-,-,105.24,-,-
,YAUHQUEMEHCAN, 1 519.45,-,-, 1 519.45,-,-
,ZACATELCO, 1 895.04, 1 151.67,-,743.37,-,-
VERACRUZ,,5 992 142.22,2 468 315.26, 92 325.43,2 988 217.68, 430 596.10, 12 687.74
,ACAJETE, 6 865.15,696.69,-, 6 168.47,-,-
,ACATLAN, 1 868.93,96.43,-, 1 772.50,-,-
,ACAYUCAN, 59 461.96, 35 577.10,-, 22 526.61, 1 358.25,-
,ACTOPAN, 62 316.56, 17 858.13,-, 44 449.68,-,8.75
,ACULA, 10 514.71, 6 072.45,-, 4 442.26,-,-
,ACULTZINGO, 7 719.43, 4 346.51,-, 3 372.92,-,-
,CAMARON DE TEJEDA, 11 673.12, 5 425.10,-, 6 248.03,-,-
,ALPATLAHUAC, 4 947.41,-,-, 4 947.41,-,-
,ALTO LUCERO, 53 248.25, 9 249.52,-, 43 998.73,-,-
,ALTOTONGA, 26 062.92, 7 556.91,-, 18 505.25,-,0.75
,ALVARADO, 48 885.39, 17 932.68,-, 30 912.70,-,40
,AMATITLAN, 11 986.68, 4 677.10,-, 7 309.58,-,-
,AMATLAN TUXPAN, 14 286.28, 2 340.34,-, 11 945.94,-,-
,AMATLAN DE LOS REYES, 10 700.88, 5 841.73,-, 4 808.82,-,50.33
,ANGEL R. CABADA, 43 200.24, 17 738.44,-, 23 412.86, 2 048.94,-
,"ANTIGUA, LA", 8 730.37, 4 170.46,-, 4 559.91,-,-
,APAZAPAN, 6 047.65, 2 462.15,-, 3 585.50,-,-
,AQUILA, 1 105.48,-,-, 1 105.48,-,-
,ASTACINGA, 3 149.25,-,-, 3 149.25,-,-
,ATLAHUILCO, 5 276.16,39.21,-, 5 236.95,-,-
,ATOYAC, 11 244.88, 5 669.10,-, 5 575.78,-,-
,ATZACAN, 6 987.83, 2 985.05,-, 4 002.79,-,-
,ATZALAN, 46 415.82, 14 727.31,64, 31 624.50,-,-
,TLALTETELA, 8 893.56, 5 257.40,-, 3 533.66,-,102.5
,AYAHUALULCO, 9 968.74,-,-, 9 963.74,-,5
,BANDERILLA, 1 827.28,262.29,-, 1 564.99,-,-
,BENITO JUAREZ, 19 003.83, 9 609.33, 3 770.07, 5 624.43,-,-
,BOCA DEL RIO, 1 618.25,615.25,-,997,-,6
,CALCAHUALCO, 7 400.56,754.98,441.94, 6 203.63,-,-
,CAMERINO Z. MENDOZA,825.21,-,-,825.21,-,-
,CARRILLO PUERTO, 23 000.78, 1 742.39,-, 21 258.40,-,-
,CATEMACO, 53 224.95, 22 538.04,-, 22 498.31, 8 176.87,11.73
,CAZONES DE HERRERA, 25 065.28, 17 052.21,-, 8 013.07,-,-
,CERRO AZUL, 8 571.57, 4 952.00,-, 3 619.12,-,0.46
,CITLALTEPETL, 5 531.59,368.63,-, 5 162.96,-,-
,COACOATZINTLA, 3 083.23,462.5,-, 2 620.73,-,-
,COAHUITLAN, 5 963.77, 1 812.08,-, 4 151.68,-,-
,COATEPEC, 17 377.31, 7 517.28,-, 9 856.29,-,3.75
,COATZACOALCOS, 13 400.77, 7 318.04,-, 3 781.23, 2 277.50,24
,COATZINTLA, 21 651.13, 9 763.30,-, 11 887.82,-,-
,COETZALA,988.42,121.81,-,866.61,-,-
,COLIPA, 13 780.34, 2 147.84,-, 11 632.50,-,-
,COMAPA, 29 953.20, 9 283.51,-, 20 667.58,-,2.1
,CORDOBA, 10 881.58, 3 664.57,-, 7 216.99,-,0.02
,COSAMALOAPAN, 58 281.94, 29 564.98,-, 28 421.44,-,295.52
,COSAUTLAN DE CARVAJAL, 7 118.02,-,-, 7 118.02,-,-
,COSCOMATEPEC, 11 168.67, 2 600.88,-, 8 567.79,-,-
,COSOLEACAQUE, 15 112.07, 5 953.21,-, 9 158.86,-,-
,COTAXTLA, 49 107.32, 6 698.50,-, 40 643.82,-, 1 765.00
,COXQUIHUI, 9 320.32, 3 998.00,-, 5 321.32,-,1
,COYUTLA, 23 692.92, 11 550.15,-, 12 142.77,-,-
,CUICHAPA, 3 867.50, 2 024.78,-, 1 842.72,-,-
,CUITLAHUAC, 12 452.25, 3 912.01,-, 8 540.23,-,-
,CHACALTIANGUIS, 23 877.43, 12 568.58,-, 11 300.10,-,8.75
,CHALMA, 16 171.53, 8 303.83,66, 7 801.70,-,-
,CHICONAMEL, 8 629.45, 2 591.82,591.53, 5 446.10,-,-
,CHICONQUIACO, 11 017.88, 3 600.73,-, 7 417.14,-,-
,CHICONTEPEC, 85 407.77, 47 891.73, 9 697.44, 27 818.61,-,-
,CHINAMECA, 13 881.21, 5 714.51,-, 8 166.71,-,-
,CHINAMPA DE GOROSTIZA, 11 066.03,962.16,-, 10 103.87,-,-
,"CHOAPAS, LAS", 311 835.83, 148 456.51,-, 38 133.23, 125 133.10,113
,CHOCAMAN, 4 320.95, 1 393.23,-, 2 527.72,-,400
,CHONTLA, 40 064.95, 4 397.05, 4 392.88, 31 266.82,-,8.2
,CHUMATLAN, 1 816.29,939.22,-,877.07,-,-
,EMILIANO ZAPATA, 33 688.89, 17 312.56,-, 16 348.33,-,28
,ESPINAL, 20 302.58, 11 655.34,-, 8 642.74,-,4.5
,FILOMENO MATA, 3 916.86,-,-, 3 916.86,-,-
,FORTIN, 4 209.48, 2 839.52,-, 1 368.96,-,1
,GUTIERREZ ZAMORA, 15 430.74, 6 133.74,-, 9 297.00,-,-
,HIDALGOTITLAN, 130 187.26, 81 457.41,-, 11 586.95, 37 125.39,17.5
,HUATUSCO, 16 433.49, 1 360.05,-, 14 997.44,-,76
,HUAYACOCOTLA, 39 075.21, 14 474.91,-, 24 600.30,-,-
,HUEYAPAN DE OCAMPO, 71 734.54, 58 539.07,-, 9 735.14, 3 453.44,6.89
,HUILOAPAN DE CUAUHTEMOC, 1 133.20,67.84,-, 1 065.37,-,-
,IGNACIO DE LA LLAVE, 29 904.99, 19 688.30,-, 10 215.94,-,0.75
,ILAMATLAN, 8 536.27, 1 449.21, 2 906.64, 4 180.42,-,-
,ISLA, 97 369.94, 26 234.01,-, 65 806.27, 5 096.43,233.23
,IXCATEPEC, 24 686.31,-,380.35, 24 305.96,-,-
,IXHUACAN DE LOS REYES, 8 988.29,963.17,-, 7 994.11,-,31
,IXHUATLAN DEL CAFE, 10 339.93, 4 587.16,-, 5 752.78,-,-
,IXHUATLANCILLO, 2 724.62, 1 503.97,-, 1 220.65,-,-
,IXHUATLAN DEL SURESTE, 13 812.45, 5 291.24,-, 8 471.20,50,-
,IXHUATLAN DE MADERO, 69 625.77, 39 287.81, 1 608.59, 28 717.87,-,11.5
,IXMATLAHUACAN, 18 919.59, 3 235.06,-, 15 662.53,-,22
,IXTACZOQUITLAN, 10 285.03, 8 521.05,-, 1 763.97,-,-
,JALACINGO, 17 147.10, 5 019.08,-, 12 128.02,-,-
,XALAPA, 5 261.40, 3 688.39,-, 1 573.01,-,-
,JALCOMULCO, 2 429.51, 2 429.51,-,-,-,-
,JALTIPAN, 28 776.37, 11 482.15,43.01, 17 171.21,-,80
,JAMAPA, 10 682.42, 5 550.10,-, 5 036.32,-,96
,JESUS CARRANZA, 160 339.50, 60 613.61,299.58, 33 085.63, 65 772.51,568.18
,XICO, 12 813.90, 3 946.21,-, 8 824.69,-,43
,JILOTEPEC, 3 808.69, 1 957.64,-, 1 851.05,-,-
,JUAN RODRIGUEZ CLARA, 94 683.57, 52 613.86,-, 42 039.70,-,30
,JUCHIQUE DE FERRER, 21 418.35, 5 459.79,-, 15 787.06,-,171.5
,LANDERO Y COSS, 1 106.71,-,-, 1 106.71,-,-
,LERDO DE TEJADA, 8 130.24, 3 588.57,-, 4 436.41,105.25,-
,MAGDALENA, 1 219.79,-,-, 1 219.79,-,-
,MALTRATA, 7 876.43, 1 837.42,-, 6 039.01,-,-
,MANLIO FABIO ALTAMIRANO, 21 234.53, 15 141.48,-, 5 936.06,-,157
,MARIANO ESCOBEDO, 6 581.07,622.78,-, 5 958.29,-,-
,MARTINEZ DE LA TORRE, 62 206.88, 29 978.95,-, 30 737.43, 1 339.50,151
,MECATLAN, 3 323.28,-,-, 3 323.28,-,-
,MECAYAPAN, 47 736.11, 33 446.78,-,-, 14 289.33,-
,MEDELLIN, 31 609.05, 17 844.74,-, 13 644.31,-,120
,MIAHUATLAN, 2 343.26,331.01,-, 2 012.25,-,-
,"MINAS, LAS", 3 074.04,-,-, 3 074.04,-,-
,MINATITLAN, 207 347.77, 161 704.78,-, 22 426.99, 23 216.00,-
,MISANTLA, 47 709.33, 14 526.72,-, 33 182.61,-,-
,MIXTLA DE ALTAMIRANO, 7 923.17,-,-, 7 923.17,-,-
,MOLOACAN, 22 677.75, 10 858.99,-, 4 179.76, 7 639.00,-
,NAOLINCO, 7 595.45, 1 150.58,-, 6 442.87,-,2
,NARANJAL, 1 140.19,-,-, 1 140.19,-,-
,NAUTLA, 25 333.43, 6 130.46,-, 19 202.97,-,-
,NOGALES, 6 077.69, 5 208.67,-,869.03,-,-
,OLUTA, 6 699.18, 2 623.32,-, 4 075.86,-,-
,OMEALCA, 18 819.03, 15 300.76,-, 3 359.72,158.55,-
,ORIZABA,286.66,-,-,286.66,-,-
,OTATITLAN, 5 371.70, 2 362.71,-, 2 772.85,-,236.14
,OTEAPAN, 1 640.64,999.95,-,640.7,-,-
,OZULUAMA, 191 462.98, 26 640.59,-, 164 720.99,-,101.4
,PAJAPAN, 24 194.52, 10 507.17, 9 791.85, 3 887.01,-,8.5
,PANUCO, 254 968.18, 72 158.67,-, 147 834.03, 33 269.77, 1 705.71
,PAPANTLA, 145 592.75, 57 108.20,-, 88 466.55,-,18
,PASO DEL MACHO, 34 072.99, 14 161.16,-, 19 911.83,-,-
,PASO DE OVEJAS, 33 997.81, 14 597.19,-, 19 363.62,-,37
,"PERLA, LA", 9 136.17,181.05,-, 8 955.12,-,-
,PEROTE, 25 941.07, 16 597.19,-, 7 065.82, 2 149.86,128.2
,PLATON SANCHEZ, 22 253.76, 5 371.44,688.64, 16 193.69,-,-
,PLAYA VICENTE, 147 970.54, 66 666.61,328.64, 36 500.52, 43 400.57, 1 074.21
,POZA RICA DE HIDALGO, 1 248.21,423.5,-,790.71,-,34
,"VIGAS DE RAMIREZ, LAS", 6 923.21, 3 024.33,-, 2 700.39,-, 1 198.50
,PUEBLO VIEJO, 14 049.14, 6 624.22,-, 7 423.53,-,1.39
,PUENTE NACIONAL, 23 731.76, 8 918.37,-, 14 813.39,-,-
,RAFAEL DELGADO, 1 838.09,636.48,-, 1 201.61,-,-
,RAFAEL LUCIO, 1 327.62,218.24,-, 1 109.38,-,-
,"REYES, LOS", 3 237.96,780.14,-, 2 457.82,-,-
,RIO BLANCO,965.66,134.94,-,830.72,-,-
,SALTABARRANCA, 7 749.85, 1 731.29,-, 5 959.14,59.42,-
,SAN ANDRES TENEJAPAN, 1 246.02,-,-,994.52,-,251.5
,SAN ANDRES TUXTLA, 79 354.04, 50 363.99,-, 24 342.31, 4 645.30,2.45
,SAN JUAN EVANGELISTA, 123 404.48, 35 686.38,-, 78 945.05, 8 723.05,50
,SANTIAGO TUXTLA, 49 287.85, 27 533.92,-, 21 753.94,-,-
,SAYULA DE ALEMAN, 65 392.06, 34 661.43,-, 28 706.73, 2 019.75,4.15
,SOCONUSCO, 8 827.30, 4 039.28,-, 4 788.02,-,-
,SOCHIAPA, 1 184.98,-,-, 1 184.98,-,-
,SOLEDAD ATZOMPA, 7 145.11, 1 352.47,-, 5 792.64,-,-
,SOLEDAD DE DOBLADO, 40 415.33, 16 525.94,-, 23 889.39,-,-
,SOTEAPAN, 49 759.34, 46 181.53,-,30, 3 547.81,-
,TAMALIN, 17 561.67, 1 217.05,-, 16 344.62,-,-
,TAMIAHUA, 68 311.15, 30 139.89,-, 32 924.26, 5 215.00,32
,TAMPICO ALTO, 82 532.86, 14 782.71,-, 67 715.35,-,34.8
,TANCOCO, 12 177.78, 3 023.20,-, 9 154.58,-,-
,TANTIMA, 34 302.03, 11 113.96,-, 23 188.07,-,-
,TANTOYUCA, 121 058.30, 13 262.40, 29 904.38, 76 765.98,-, 1 125.53
,TATATILA, 5 915.40,-,-, 5 913.40,-,2
,CASTILLO DE TEAYO, 25 473.38, 15 824.47,-, 9 647.79,-,1.12
,TECOLUTLA, 35 618.10, 14 457.56,-, 20 890.54,270,-
,TEHUIPANGO, 5 913.79,-,-, 5 913.29,-,0.5
,TEMAPACHE, 125 975.17, 69 845.11, 2 694.25, 53 410.81,-,25
,TEMPOAL, 110 766.55, 22 441.64, 1 792.42, 86 532.49,-,-
,TENAMPA, 3 932.97, 1 544.04,-, 2 388.93,-,-
,TENOCHTITLAN, 5 149.89,-,-, 5 149.89,-,-
,TEOCELO, 5 568.11, 1 594.75,-, 3 973.35,-,-
,TEPATLAXCO, 4 704.17,831.2,-, 3 872.97,-,-
,TEPETLAN, 6 911.33, 3 225.61,-, 3 685.72,-,-
,TEPETZINTLA, 19 284.24, 6 661.67,-, 12 622.57,-,-
,TEQUILA, 8 798.52, 1 328.10,-, 7 470.42,-,-
,JOSE AZUETA, 37 873.29, 23 054.70, 1 179.00, 13 639.59,-,-
,TEXCATEPEC, 9 592.08, 1 201.00, 8 391.08,-,-,-
,TEXHUACAN, 2 797.97,-,-, 2 797.97,-,-
,TEXISTEPEC, 39 277.04, 18 651.82,-, 19 878.22,-,747
,TEZONAPA, 38 312.34, 24 655.50,-, 5 772.33, 7 564.36,320.15
,TIERRA BLANCA, 145 809.75, 56 983.60,-, 87 854.60,971.55,-
,TIHUATLAN, 66 226.54, 38 442.60,-, 27 751.30,32,0.65
,TLACOJALPAN, 7 535.89, 2 898.36,-, 4 452.11,-,185.41
,TLACOLULAN, 9 095.42,209.51,-, 8 885.91,-,-
,TLACOTALPAN, 45 839.44, 13 470.65,-, 32 368.79,-,-
,TLACOTEPEC DE MEJIA, 4 312.13,950.67,-, 3 361.15,-,0.31
,TLACHICHILCO, 19 935.54, 2 356.50, 4 935.75, 12 640.39,-,2.9
,TLALIXCOYAN, 81 576.01, 32 510.96,-, 49 060.05,-,5
,TLALNELHUAYOCAN, 2 658.21, 1 212.36,-, 1 445.85,-,-
,TLAPACOYAN, 15 370.15, 6 937.04,-, 8 433.11,-,-
,TLAQUILPAN, 5 119.73,-,-, 5 119.73,-,-
,TLILAPAN,950.05,105.39,-,844.66,-,-
,TOMATLAN, 1 865.95,306,-, 1 559.95,-,-
,TONAYAN, 3 175.73,334.54,-, 2 841.19,-,-
,TOTUTLA, 7 808.95, 2 740.27,-, 5 068.69,-,-
,TUXPAM, 75 812.45, 37 347.11,304.5, 37 650.55,473.66,36.62
,TUXTILLA, 4 013.66, 3 917.66,-,96,-,-
,URSULO GALVAN, 11 514.62, 9 656.48,-, 1 858.15,-,-
,VEGA DE ALATORRE, 28 543.14, 7 008.19,-, 21 534.95,-,-
,VERACRUZ, 17 879.95, 8 439.32,-, 8 946.54,-,494.1
,VILLA ALDAMA, 2 865.14, 1 871.31,-,993.84,-,-
,XOXOCOTLA, 4 634.46, 4 403.06,-,231.4,-,-
,YANGA, 6 022.64, 2 972.60,-, 3 050.04,-,-
,YECUATLAN, 10 421.71,327.56,-, 10 094.15,-,-
,ZACUALPAN, 21 080.50, 2 351.50,-, 18 729.00,-,-
,ZARAGOZA, 1 960.80,-,-, 1 960.80,-,-
,ZENTLA, 12 185.90, 3 989.95,-, 8 195.95,-,-
,ZONGOLICA, 23 295.03, 9 637.93,-, 13 635.86,3.5,17.75
,ZONTECOMATLAN, 12 731.60, 1 283.52, 8 052.89, 3 395.19,-,-
,ZOZOCOLCO DE HIDALGO, 5 772.81,284.13,-, 5 488.68,-,-
,AGUA DULCE, 28 539.76, 12 423.42,-,641.25, 15 475.09,-
,"HIGO, EL", 47 102.57, 22 857.77,-, 24 244.80,-,-
,NANCHITAL DE LAZARO CARDENAS DEL R, 1 955.93,80.68,-, 1 875.25,-,-
,TRES VALLES, 47 396.55, 23 474.43,-, 18 278.93, 5 535.36,107.83
YUCATAN,,1 946 077.46, 578 579.88, 1 811.05,1 315 101.56,413.45, 50 171.52
,ABALA, 9 637.86, 6 476.70,4.5, 3 156.67,-,-
,ACANCEH, 5 940.70, 3 157.47,-, 2 783.23,-,-
,AKIL, 5 033.99, 1 277.86,-, 3 729.13,-,27
,BACA, 7 521.40, 4 209.86,-, 3 306.12,-,5.42
,BOKOBA, 4 302.32, 2 013.45,-, 2 288.86,-,-
,BUCTZOTZ, 63 980.52, 18 114.92,-, 41 434.08,-, 4 431.52
,CACALCHEN, 7 297.33, 2 981.42,-, 4 308.83,-,7.08
,CALOTMUL, 16 507.32, 5 640.73,2.04, 10 765.55,3,96
,CANSAHCAB, 6 024.14, 3 286.51,6, 2 731.63,-,-
,CANTAMAYEC, 25 090.71,575.91,-, 24 514.80,-,-
,CELESTUN, 4 066.20,753.62,-, 3 284.78,-,27.81
,CENOTILLO, 33 614.12, 3 317.65, 1 612.02, 27 399.92,-, 1 284.54
,CONKAL, 2 070.30, 1 663.40,-,406.9,-,-
,CUNCUNUL, 6 121.48,451.64,-, 5 669.84,-,-
,CUZAMA, 3 702.71, 2 186.76,-, 1 515.95,-,-
,CHACSINKIN, 4 128.13, 1 434.93,-, 2 693.20,-,-
,CHANKOM, 5 947.24, 2 749.72,-, 3 197.52,-,-
,CHAPAB, 3 559.49, 1 095.71,-, 2 456.58,-,7.2
,CHEMAX, 60 710.14, 10 012.87,5, 49 401.35,75, 1 215.92
,CHICXULUB PUEBLO, 4 553.14,744.98,-, 3 791.16,-,17
,CHICHIMILA, 18 479.98, 1 245.69,-, 17 232.29,-,2
,CHIKINDZONOT, 7 217.22, 3 292.43,-, 3 600.03,-,324.76
,CHOCHOLA, 11 236.23, 2 266.67,-, 8 463.04,-,506.52
,CHUMAYEL, 3 446.50,833.3,-, 2 613.20,-,-
,DZAN, 4 107.18, 1 811.47,-, 2 295.70,-,-
,DZEMUL, 15 723.44, 4 639.89,-, 9 022.91,-, 2 060.63
,DZIDZANTUN, 12 026.96, 2 059.48,-, 9 967.49,-,-
,DZILAM DE BRAVO, 28 851.97,794.43,-, 24 628.87,300, 3 128.67
,DZILAM GONZALEZ, 39 238.11, 11 124.89,-, 25 256.42,-, 2 856.80
,DZITAS, 11 515.69, 1 358.36,-, 10 157.33,-,-
,DZONCAUICH, 7 542.30, 2 278.36,-, 5 253.53,10.41,-
,ESPITA, 30 841.42, 6 885.03,-, 23 952.39,-,4
,HALACHO, 23 446.41, 22 157.69,-, 1 264.95,-,23.77
,HOCABA, 5 851.91, 2 259.40,-, 3 592.51,-,-
,HOCTUN, 3 474.79, 1 973.77,-, 1 499.98,-,1.05
,HOMUN, 9 397.70, 5 485.09,-, 3 848.45,-,64.17
,HUHI, 6 816.96, 3 358.86,-, 3 458.11,-,-
,HUNUCMA, 13 176.06, 4 849.60,-, 8 262.61,-,63.84
,IXIL, 7 814.75, 2 635.48,-, 5 179.27,-,-
,IZAMAL, 33 427.85, 20 399.38,-, 12 380.98,-,647.49
,KANASIN, 4 892.67, 3 284.36,-, 1 608.31,-,-
,KANTUNIL, 7 836.66, 1 563.55,-, 6 273.11,-,-
,KAUA, 3 424.23,676.29,-, 2 747.94,-,-
,KINCHIL, 14 643.74, 8 997.28,-, 5 544.46,-,102.01
,KOPOMA, 3 977.17, 3 347.14,-,627.03,-,3.01
,MAMA, 7 184.44, 3 293.87,-, 3 889.49,-,1.08
,MANI, 8 978.37,759.35,-, 8 149.03,-,69.99
,MAXCANU, 31 940.09, 21 311.17,-, 10 578.53,-,50.39
,MAYAPAN, 2 347.49,578.95,-, 1 768.54,-,-
,MERIDA, 23 040.35, 14 396.21,-, 8 253.86,3,387.29
,MOCOCHA, 3 645.13, 2 300.87,-, 1 065.37,-,278.9
,MOTUL, 23 732.19, 12 820.68,-, 10 910.43,-,1.08
,MUNA, 13 845.53, 3 699.27,-, 10 036.46,-,109.8
,MUXUPIP, 5 083.53, 4 673.84,-,356.71,-,52.98
,OPICHEN, 12 981.94, 7 863.01,-, 5 111.93,-,7
,OXKUTZCAB, 27 893.24, 2 456.76,-, 25 071.81,-,364.67
,PANABA, 66 350.72, 12 864.70,-, 52 349.24,-, 1 136.78
,PETO, 26 240.30, 10 389.30,1, 14 828.03,-, 1 021.97
,PROGRESO, 8 443.20, 5 858.85,-, 2 584.35,-,-
,QUINTANA ROO, 4 421.21, 1 698.61,-, 2 710.37,-,12.24
,RIO LAGARTOS, 21 223.33, 2 364.02,-, 12 933.56,-, 5 925.75
,SACALUM, 6 301.09, 2 269.99,-, 4 031.10,-,-
,SAMAHIL, 8 504.93, 3 869.78,-, 4 635.15,-,-
,SANAHCAT, 1 725.51,898,-,825.69,-,1.83
,SAN FELIPE, 31 646.84, 4 043.13,-, 24 829.54,-, 2 774.17
,SANTA ELENA, 19 581.20,980.4,-, 18 359.47,-,241.33
,SEYE, 5 493.89, 1 600.56,2.88, 3 868.45,-,22
,SINANCHE, 8 852.50, 2 383.46,-, 6 318.18,-,150.87
,SOTUTA, 35 669.98, 1 942.38,2, 33 678.48,-,47.12
,SUCILA, 25 241.33, 8 186.14,-, 16 811.95,-,243.24
,SUDZAL, 14 978.00, 2 720.76,-, 12 257.24,-,-
,SUMA, 6 053.72, 3 925.99,-, 2 123.12,-,4.6
,TAHDZIU, 13 814.89, 2 141.48,-, 11 409.26,-,264.15
,TAHMEK, 5 627.89, 2 808.06,-, 2 776.86,-,42.97
,TEABO, 12 986.41,736.53,-, 12 185.64,-,64.24
,TECOH, 10 021.94, 7 764.48,-, 2 256.69,-,0.76
,TEKAL DE VENEGAS, 14 068.97, 4 026.49,-, 9 790.76,-,251.72
,TEKANTO, 5 011.66, 3 194.52,-, 1 791.56,-,25.58
,TEKAX, 100 905.04, 19 250.54,98.43, 79 386.70,-, 2 169.36
,TEKIT, 17 585.28, 3 297.82,0.35, 14 286.88,-,0.24
,TEKOM, 10 353.39,740.4,-, 9 585.98,-,27
,TELCHAC PUEBLO, 5 356.46, 2 114.21,-, 3 240.77,-,1.48
,TELCHAC PUERTO, 2 363.58,783.91,-, 1 579.67,-,-
,TEMAX, 16 281.88, 9 260.99,-, 7 007.26,-,13.64
,TEMOZON, 34 395.49, 5 190.14,-, 29 150.27,22.04,33.04
,TEPAKAN, 6 012.13, 1 499.19,-, 4 404.57,-,108.37
,TETIZ, 21 667.64, 9 694.89,-, 6 466.12,-, 5 506.63
,TEYA, 4 859.83, 2 386.46,-, 2 473.37,-,-
,TICUL, 11 013.75, 2 359.82,-, 8 646.49,-,7.44
,TIMUCUY, 5 245.12, 2 718.39,3.88, 2 522.85,-,-
,TINUM, 23 746.15, 2 209.91,-, 17 891.17,-, 3 645.06
,TIXCACALCUPUL, 16 535.45, 1 756.08,-, 14 779.37,-,-
,TIXKOKOB, 12 388.97, 7 020.86,-, 5 340.12,-,28
,TIXMEHUAC, 6 166.98, 1 382.43,-, 4 757.54,-,27.01
,TIXPEHUAL, 3 908.70, 3 070.43,-,838.28,-,-
,TIZIMIN, 273 097.04, 93 138.69,50.75, 174 799.09,-, 5 108.50
,TUNKAS, 23 592.86, 3 500.74,3.18, 20 088.95,-,-
,TZUCACAB, 58 775.47, 22 154.07,-, 34 159.68,-, 2 461.72
,UAYMA, 11 824.00, 1 255.22,-, 10 568.78,-,-
,UCU, 1 696.09,892.76,-,803.33,-,-
,UMAN, 10 678.41, 5 026.26,11, 5 641.15,-,-
,VALLADOLID, 80 956.03, 10 566.69,8.02, 70 126.14,-,255.18
,XOCCHEL, 4 217.54,338.86,-, 3 878.67,-,-
,YAXCABA, 50 582.52, 10 453.40,-, 39 904.08,-,225.04
,YAXKUKUL, 2 547.25, 1 483.99,-,974.1,-,89.16
,YOBAIN, 8 175.51, 2 487.13,-, 5 686.38,-,2
ZACATECAS,,4 042 058.93, 810 459.03, 10 558.13,3 158 655.64, 40 472.18, 21 913.95
,APOZOL, 20 705.81, 3 323.40,-, 17 358.40,24,-
,APULCO, 13 300.73, 1 010.66,-, 12 288.07,2,-
,ATOLINGA, 22 293.74,-,-, 22 227.24,-,66.5
,BENITO JUAREZ, 27 878.59,782.88,55.84, 27 015.92,14,9.96
,CALERA, 39 109.12, 9 086.79,210, 24 841.83, 4 877.00,93.5
,CA„ITAS DE FELIPE PESCADOR, 26 356.48, 18 869.11,-, 7 487.38,-,-
,CONCEPCION DEL ORO, 26 819.58, 10 288.98,-, 16 530.60,-,-
,CUAUHTEMOC, 32 129.27, 5 323.26,-, 26 776.01,12,18
,CHALCHIHUITES, 62 114.18, 2 733.61,-, 59 281.07,-,99.5
,FRESNILLO, 322 917.52, 83 578.78,82, 226 367.83, 11 928.91,960
,TRINIDAD GARCIA DE LA CADENA, 27 621.88,-,-, 27 544.88,77,-
,GENARO CODINA, 25 726.02, 5 229.64, 1 480.03, 19 012.18,-,4.17
,GENERAL ENRIQUE ESTRADA, 20 359.81, 1 127.50,-, 18 787.47,37,407.84
,FRANCISCO R. MURGUIA, 284 926.69, 64 142.31,109, 218 544.87,998, 1 132.50
,GENERAL JOAQUIN AMARO, 20 618.40, 2 775.29,-, 17 836.11,6,1
,GENERAL PANFILO NATERA, 30 941.89, 15 502.36,-, 15 437.53,-,2
,GUADALUPE, 59 751.10, 38 679.60,13, 20 790.50,-,268
,HUANUSCO, 24 481.13, 4 454.48,-, 19 897.65,-,129
,JALPA, 53 645.79, 1 917.14,-, 51 383.02,232.63,113
,JEREZ, 81 103.45, 25 239.14,576, 55 066.05,97.5,124.77
,JIMENEZ DEL TEUL, 99 310.24, 3 045.25,-, 95 965.00,-,300
,JUAN ALDAMA, 38 934.43, 25 085.90,-, 13 817.53,13,18
,JUCHIPILA, 34 610.64, 2 325.30,-, 32 285.34,-,-
,LORETO, 23 802.86, 8 695.02,-, 15 036.84,5,66
,LUIS MOYA, 10 055.79, 6 076.69,-, 3 870.89,-,108.21
,MAZAPIL, 358 232.33, 20 201.70,4, 321 897.62, 2 215.00, 13 914.00
,MELCHOR OCAMPO, 82 310.03, 1 438.21,-, 80 817.81,-,54
,MEZQUITAL DEL ORO, 37 707.02, 1 261.30,-, 36 445.72,-,-
,MIGUEL AUZA, 66 715.70, 19 142.76,3, 47 559.94,-,10
,MOMAX, 13 085.52,-,-, 13 085.52,-,-
